#index raw norm_full norm_ldro gray_ldro
721 25 24 6 5
722 111 110 27 22
723 111 110 27 22
724 44 43 10 15
725 101 100 25 21
726 9 8 2 3
727 34 33 8 12
728 34 33 8 12
729 98 97 24 20
730 99 98 24 20
731 49 48 12 10
732 39 38 9 13
733 17 16 4 6
734 85 84 21 31
735 86 85 21 31
736 66 65 16 24
737 63 62 15 8
738 65 64 16 24
739 80 79 19 26
740 80 79 19 26
741 62 61 15 8
742 19 18 4 6
743 107 106 26 23
744 123 122 30 17
745 127 126 31 16
746 21 20 5 7
747 121 120 30 17
748 123 122 30 17
749 3 2 0 0
750 56 55 13 11
751 18 17 4 6
752 0 127 31 16
753 27 26 6 5
754 112 111 27 22
755 95 94 23 28
756 42 41 10 15
757 38 37 9 13
758 54 53 13 11
759 39 38 9 13
760 63 62 15 8
761 64 63 15 8
762 64 63 15 8
763 64 63 15 8
764 64 63 15 8
765 64 63 15 8
766 64 63 15 8
767 64 63 15 8
768 72 71 17 25
769 72 71 17 25
770 81 80 20 30
771 122 121 30 17
772 122 121 30 17
773 121 120 30 17
774 45 44 11 14
775 61 60 15 8
776 45 44 11 14
777 17 16 4 6
778 61 60 15 8
779 1 0 0 0
780 73 72 18 27
781 14 13 3 2
782 34 33 8 12
783 120 119 29 19
784 25 24 6 5
785 0 127 31 16
786 51 50 12 10
787 95 94 23 28
788 18 17 4 6
789 48 47 11 14
790 115 114 28 18
791 54 53 13 11
792 121 120 30 17
793 80 79 19 26
794 11 10 2 3
795 69 68 17 25
796 105 104 26 23
797 2 1 0 0
798 59 58 14 9
799 1 0 0 0
800 66 65 16 24
801 17 16 4 6
802 6 5 1 1
803 122 121 30 17
804 113 112 28 18
805 54 53 13 11
806 34 33 8 12
807 32 31 7 4
808 33 32 8 12
809 64 63 15 8
810 48 47 11 14
811 62 61 15 8
812 65 64 16 24
813 65 64 16 24
814 33 32 8 12
815 120 119 29 19
816 119 118 29 19
817 37 36 9 13
818 49 48 12 10
819 6 5 1 1
820 44 43 10 15
821 68 67 16 24
822 1 0 0 0
823 37 36 9 13
824 109 108 27 22
825 89 88 22 29
826 61 60 15 8
827 25 24 6 5
828 80 79 19 26
829 22 21 5 7
830 32 31 7 4
831 32 31 7 4
832 32 31 7 4
833 32 31 7 4
834 32 31 7 4
835 32 31 7 4
836 32 31 7 4
837 32 31 7 4
838 32 31 7 4
839 40 39 9 13
840 48 47 11 14
841 71 70 17 25
842 76 75 18 27
843 89 88 22 29
844 13 12 3 2
845 29 28 7 4
846 13 12 3 2
847 113 112 28 18
848 29 28 7 4
849 97 96 24 20
850 41 40 10 15
851 110 109 27 22
852 2 1 0 0
853 88 87 21 31
854 121 120 30 17
855 96 95 23 28
856 19 18 4 6
857 63 62 15 8
858 114 113 28 18
859 16 15 3 2
860 83 82 20 30
861 22 21 5 7
862 89 88 22 29
863 47 46 11 14
864 108 107 26 23
865 37 36 9 13
866 73 72 18 27
867 98 97 24 20
868 27 26 6 5
869 97 96 24 20
870 34 33 8 12
871 113 112 28 18
872 103 102 25 21
873 90 89 22 29
874 81 80 20 30
875 22 21 5 7
876 2 1 0 0
877 0 127 31 16
878 1 0 0 0
879 32 31 7 4
880 16 15 3 2
881 98 97 24 20
882 66 65 16 24
883 100 99 24 20
884 54 53 13 11
885 73 72 18 27
886 17 16 4 6
887 43 42 10 15
888 97 96 24 20
889 60 59 14 9
890 108 107 26 23
891 120 119 29 19
892 19 18 4 6
893 40 39 9 13
894 74 73 18 27
895 81 80 20 30
896 117 116 29 19
897 41 40 10 15
898 79 78 19 26
899 35 34 8 12
900 58 57 14 9
901 0 127 31 16
902 0 127 31 16
903 0 127 31 16
904 0 127 31 16
905 0 127 31 16
906 0 127 31 16
907 0 127 31 16
908 0 127 31 16
909 8 7 1 1
910 16 15 3 2
911 52 51 12 10
912 112 111 27 22
913 57 56 14 9
914 109 108 27 22
915 124 123 30 17
916 109 108 27 22
917 81 80 20 30
918 125 124 31 16
919 65 64 16 24
920 9 8 2 3
921 78 77 19 26
922 98 97 24 20
923 56 55 13 11
924 89 88 22 29
925 64 63 15 8
926 115 114 28 18
927 31 30 7 4
928 82 81 20 30
929 112 111 27 22
930 51 50 12 10
931 118 117 29 19
932 57 56 14 9
933 15 14 3 2
934 76 75 18 27
935 5 4 1 1
936 41 40 10 15
937 66 65 16 24
938 122 121 30 17
939 65 64 16 24
940 2 1 0 0
941 81 80 20 30
942 71 70 17 25
943 59 58 14 9
944 49 48 12 10
945 118 117 29 19
946 98 97 24 20
947 96 95 23 28
948 97 96 24 20
949 0 127 31 16
950 112 111 27 22
951 104 103 25 21
952 14 13 3 2
953 114 113 28 18
954 30 29 7 4
955 82 81 20 30
956 79 78 19 26
957 8 7 1 1
958 13 12 3 2
959 36 35 8 12
960 102 101 25 21
961 122 121 30 17
962 122 121 30 17
963 28 27 6 5
964 11 10 2 3
965 103 102 25 21
966 119 118 29 19
967 55 54 13 11
968 116 115 28 18
969 38 37 9 13
970 55 54 13 11
971 96 95 23 28
972 96 95 23 28
973 96 95 23 28
974 96 95 23 28
975 96 95 23 28
976 96 95 23 28
977 96 95 23 28
978 96 95 23 28
979 104 103 25 21
980 112 111 27 22
981 34 33 8 12
982 22 21 5 7
983 25 24 6 5
984 77 76 19 26
985 93 92 23 28
986 77 76 19 26
987 77 76 19 26
988 93 92 23 28
989 94 93 23 28
990 33 32 8 12
991 105 104 26 23
992 46 45 11 14
993 66 65 16 24
994 56 55 13 11
995 33 32 8 12
996 31 30 7 4
997 127 126 31 16
998 89 88 22 29
999 50 49 12 10
1000 19 18 4 6
1001 86 85 21 31
1002 25 24 6 5
1003 111 110 27 22
1004 44 43 10 15
1005 45 44 11 14
1006 9 8 2 3
1007 35 34 8 12
1008 91 90 22 29
1009 33 32 8 12
1010 33 32 8 12
1011 99 98 24 20
1012 49 48 12 10
1013 39 38 9 13
1014 26 25 6 5
1015 17 16 4 6
1016 86 85 21 31
1017 65 64 16 24
1018 65 64 16 24
1019 65 64 16 24
1020 96 95 23 28
1021 73 72 18 27
1022 46 45 11 14
1023 11 10 2 3
1024 88 87 21 31
1025 92 91 22 29
1026 98 97 24 20
1027 38 37 9 13
1028 95 94 23 28
1029 14 13 3 2
1030 34 33 8 12
1031 109 108 27 22
