#index raw norm_full norm_ldro gray_ldro
588 127 126 31 16
589 1 0 0 0
590 1 0 0 0
591 1 0 0 0
592 1 0 0 0
593 1 0 0 0
594 1 0 0 0
595 1 0 0 0
596 1 0 0 0
597 9 8 2 3
598 17 16 4 6
599 40 39 9 13
600 45 44 11 14
601 58 57 14 9
602 110 109 27 22
603 126 125 31 16
604 110 109 27 22
605 82 81 20 30
606 126 125 31 16
607 66 65 16 24
608 10 9 2 3
609 79 78 19 26
610 99 98 24 20
611 57 56 14 9
612 90 89 22 29
613 65 64 16 24
614 116 115 28 18
615 32 31 7 4
616 83 82 20 30
617 113 112 28 18
618 52 51 12 10
619 119 118 29 19
620 58 57 14 9
621 16 15 3 2
622 77 76 19 26
623 6 5 1 1
624 42 41 10 15
625 67 66 16 24
626 124 123 30 17
627 66 65 16 24
628 3 2 0 0
629 82 81 20 30
630 72 71 17 25
631 59 58 14 9
632 50 49 12 10
633 119 118 29 19
634 99 98 24 20
635 97 96 24 20
636 98 97 24 20
637 1 0 0 0
638 113 112 28 18
639 16 15 3 2
640 69 68 17 25
641 69 68 17 25
642 23 22 5 7
643 42 41 10 15
644 114 113 28 18
645 22 21 5 7
646 5 4 1 1
647 27 26 6 5
648 77 76 19 26
649 89 88 22 29
650 116 115 28 18
651 9 8 2 3
652 43 42 10 15
653 50 49 12 10
654 29 28 7 4
655 77 76 19 26
656 48 47 11 14
657 4 3 0 0
658 27 26 6 5
659 97 96 24 20
660 97 96 24 20
661 97 96 24 20
662 97 96 24 20
663 97 96 24 20
664 97 96 24 20
665 97 96 24 20
666 97 96 24 20
667 105 104 26 23
668 113 112 28 18
669 73 72 18 27
670 81 80 20 30
671 26 25 6 5
672 78 77 19 26
673 93 92 23 28
674 78 77 19 26
675 50 49 12 10
676 94 93 23 28
677 34 33 8 12
678 106 105 26 23
679 47 46 11 14
680 67 66 16 24
681 25 24 6 5
682 58 57 14 9
683 33 32 8 12
684 84 83 20 30
685 0 127 31 16
686 51 50 12 10
687 81 80 20 30
688 20 19 4 6
689 87 86 21 31
690 26 25 6 5
691 112 111 27 22
692 44 43 10 15
693 102 101 25 21
694 10 9 2 3
695 35 34 8 12
696 91 90 22 29
697 34 33 8 12
698 99 98 24 20
699 50 49 12 10
700 40 39 9 13
701 28 27 6 5
702 18 17 4 6
703 87 86 21 31
704 67 66 16 24
705 64 63 15 8
706 66 65 16 24
707 97 96 24 20
708 81 80 20 30
709 81 80 20 30
710 111 110 27 22
711 83 82 20 30
712 103 102 25 21
713 21 20 5 7
714 48 47 11 14
715 105 104 26 23
716 110 109 27 22
717 5 4 1 1
718 71 70 17 25
719 124 123 30 17
720 41 40 10 15
721 125 124 31 16
722 108 107 26 23
723 72 71 17 25
724 88 87 21 31
725 24 23 5 7
726 85 84 21 31
727 7 6 1 1
728 24 23 5 7
729 64 63 15 8
730 65 64 16 24
731 65 64 16 24
732 65 64 16 24
733 65 64 16 24
734 65 64 16 24
735 65 64 16 24
736 65 64 16 24
737 73 72 18 27
738 81 80 20 30
739 3 2 0 0
740 119 118 29 19
741 122 121 30 17
742 46 45 11 14
743 61 60 15 8
744 46 45 11 14
745 46 45 11 14
746 62 61 15 8
747 63 62 15 8
748 2 1 0 0
749 74 73 18 27
750 15 14 3 2
751 35 34 8 12
752 25 24 6 5
753 1 0 0 0
754 52 51 12 10
755 96 95 23 28
756 97 96 24 20
757 19 18 4 6
758 48 47 11 14
759 55 54 13 11
760 122 121 30 17
761 80 79 19 26
762 13 12 3 2
763 70 69 17 25
764 106 105 26 23
765 4 3 0 0
766 60 59 14 9
767 60 59 14 9
768 2 1 0 0
769 67 66 16 24
770 18 17 4 6
771 124 123 30 17
772 123 122 30 17
773 55 54 13 11
774 55 54 13 11
775 34 33 8 12
776 34 33 8 12
777 64 63 15 8
778 65 64 16 24
779 14 13 3 2
780 28 27 6 5
781 108 107 26 23
782 57 56 14 9
783 63 62 15 8
784 8 7 1 1
785 84 83 20 30
786 64 63 15 8
787 111 110 27 22
788 41 40 10 15
789 78 77 19 26
790 12 11 2 3
791 111 110 27 22
792 119 118 29 19
793 31 30 7 4
794 11 10 2 3
795 79 78 19 26
796 23 22 5 7
797 15 14 3 2
798 109 108 27 22
799 33 32 8 12
800 33 32 8 12
801 33 32 8 12
802 33 32 8 12
803 33 32 8 12
804 33 32 8 12
805 33 32 8 12
806 33 32 8 12
807 41 40 10 15
808 49 48 12 10
809 52 51 12 10
810 105 104 26 23
811 47 46 11 14
812 90 89 22 29
813 14 13 3 2
814 30 29 7 4
815 14 13 3 2
816 114 113 28 18
817 30 29 7 4
818 98 97 24 20
819 42 41 10 15
820 111 110 27 22
821 3 2 0 0
822 89 88 22 29
823 122 121 30 17
824 97 96 24 20
825 20 19 4 6
826 64 63 15 8
827 114 113 28 18
828 17 16 4 6
829 83 82 20 30
830 23 22 5 7
831 90 89 22 29
832 48 47 11 14
833 109 108 27 22
834 38 37 9 13
835 74 73 18 27
836 99 98 24 20
837 28 27 6 5
838 98 97 24 20
839 35 34 8 12
840 113 112 28 18
841 103 102 25 21
842 90 89 22 29
843 82 81 20 30
844 23 22 5 7
845 3 2 0 0
846 1 0 0 0
847 2 1 0 0
848 33 32 8 12
849 17 16 4 6
850 35 34 8 12
851 52 51 12 10
852 25 24 6 5
853 78 77 19 26
854 48 47 11 14
855 100 99 24 20
856 68 67 16 24
857 45 44 11 14
858 74 73 18 27
859 55 54 13 11
860 47 46 11 14
861 84 83 20 30
862 70 69 17 25
863 117 116 29 19
864 111 110 27 22
865 22 21 5 7
866 16 15 3 2
867 3 2 0 0
868 25 24 6 5
869 1 0 0 0
870 1 0 0 0
871 1 0 0 0
872 1 0 0 0
873 1 0 0 0
874 1 0 0 0
875 1 0 0 0
876 1 0 0 0
877 1 0 0 0
878 9 8 2 3
879 17 16 4 6
880 63 62 15 8
881 31 30 7 4
882 58 57 14 9
883 110 109 27 22
884 126 125 31 16
885 110 109 27 22
886 82 81 20 30
887 126 125 31 16
888 66 65 16 24
889 10 9 2 3
890 79 78 19 26
891 99 98 24 20
892 57 56 14 9
893 90 89 22 29
894 65 64 16 24
895 116 115 28 18
896 32 31 7 4
897 83 82 20 30
898 113 112 28 18
899 52 51 12 10
900 119 118 29 19
901 58 57 14 9
902 16 15 3 2
903 77 76 19 26
904 6 5 1 1
905 42 41 10 15
906 67 66 16 24
907 124 123 30 17
908 66 65 16 24
909 3 2 0 0
910 82 81 20 30
911 72 71 17 25
912 59 58 14 9
913 50 49 12 10
914 119 118 29 19
915 99 98 24 20
916 97 96 24 20
917 98 97 24 20
918 1 0 0 0
919 113 112 28 18
920 45 44 11 14
921 78 77 19 26
922 55 54 13 11
923 124 123 30 17
924 26 25 6 5
925 121 120 30 17
926 36 35 8 12
927 124 123 30 17
928 3 2 0 0
929 52 51 12 10
930 96 95 23 28
931 22 21 5 7
932 104 103 25 21
933 25 24 6 5
934 82 81 20 30
935 92 91 22 29
936 115 114 28 18
937 106 105 26 23
938 54 53 13 11
939 56 55 13 11
940 97 96 24 20
941 97 96 24 20
942 97 96 24 20
943 97 96 24 20
944 97 96 24 20
945 97 96 24 20
946 97 96 24 20
947 97 96 24 20
948 105 104 26 23
949 113 112 28 18
950 63 62 15 8
951 89 88 22 29
952 26 25 6 5
953 78 77 19 26
954 94 93 23 28
955 77 76 19 26
956 50 49 12 10
957 94 93 23 28
958 34 33 8 12
959 106 105 26 23
960 47 46 11 14
961 67 66 16 24
962 25 24 6 5
963 58 57 14 9
964 33 32 8 12
965 84 83 20 30
966 0 127 31 16
967 51 50 12 10
968 81 80 20 30
969 20 19 4 6
970 21 20 5 7
971 26 25 6 5
972 112 111 27 22
973 45 44 11 14
974 102 101 25 21
975 10 9 2 3
976 35 34 8 12
977 92 91 22 29
978 34 33 8 12
979 99 98 24 20
980 50 49 12 10
981 40 39 9 13
982 27 26 6 5
983 18 17 4 6
984 87 86 21 31
985 67 66 16 24
986 65 64 16 24
987 66 65 16 24
988 97 96 24 20
989 81 80 20 30
990 107 106 26 23
991 106 105 26 23
992 5 4 1 1
993 113 112 28 18
994 123 122 30 17
995 83 82 20 30
996 69 68 17 25
997 97 96 24 20
998 83 82 20 30
999 37 36 9 13
1000 115 114 28 18
1001 8 7 1 1
1002 79 78 19 26
1003 119 118 29 19
1004 70 69 17 25
1005 77 76 19 26
1006 96 95 23 28
1007 42 41 10 15
1008 45 44 11 14
1009 17 16 4 6
1010 65 64 16 24
1011 65 64 16 24
1012 65 64 16 24
1013 65 64 16 24
1014 65 64 16 24
1015 65 64 16 24
1016 65 64 16 24
1017 65 64 16 24
1018 73 72 18 27
1019 80 79 19 26
1020 75 74 18 27
1021 123 122 30 17
1022 123 122 30 17
1023 122 121 30 17
1024 61 60 15 8
1025 62 61 15 8
1026 18 17 4 6
1027 18 17 4 6
1028 59 58 14 9
1029 73 72 18 27
1030 15 14 3 2
1031 35 34 8 12
1032 35 34 8 12
1033 26 25 6 5
1034 26 25 6 5
1035 52 51 12 10
1036 96 95 23 28
1037 19 18 4 6
1038 18 17 4 6
1039 116 115 28 18
1040 54 53 13 11
1041 122 121 30 17
1042 121 120 30 17
1043 14 13 3 2
1044 13 12 3 2
1045 106 105 26 23
1046 106 105 26 23
1047 60 59 14 9
1048 3 2 0 0
1049 67 66 16 24
1050 19 18 4 6
1051 8 7 1 1
1052 7 6 1 1
1053 114 113 28 18
1054 55 54 13 11
1055 35 34 8 12
1056 34 33 8 12
1057 34 33 8 12
1058 65 64 16 24
1059 65 64 16 24
1060 49 48 12 10
1061 115 114 28 18
1062 14 13 3 2
1063 33 32 8 12
1064 88 87 21 31
1065 91 90 22 29
1066 84 83 20 30
1067 16 15 3 2
1068 25 24 6 5
1069 23 22 5 7
1070 82 81 20 30
1071 105 104 26 23
1072 46 45 11 14
1073 74 73 18 27
1074 54 53 13 11
1075 66 65 16 24
1076 62 61 15 8
1077 47 46 11 14
1078 107 106 26 23
1079 94 93 23 28
1080 33 32 8 12
1081 33 32 8 12
1082 33 32 8 12
1083 33 32 8 12
1084 33 32 8 12
1085 33 32 8 12
1086 33 32 8 12
1087 33 32 8 12
1088 33 32 8 12
1089 49 48 12 10
1090 49 48 12 10
1091 93 92 23 28
1092 102 101 25 21
1093 90 89 22 29
1094 14 13 3 2
1095 30 29 7 4
1096 14 13 3 2
1097 113 112 28 18
1098 30 29 7 4
1099 98 97 24 20
1100 42 41 10 15
1101 111 110 27 22
1102 3 2 0 0
1103 89 88 22 29
1104 122 121 30 17
1105 96 95 23 28
1106 20 19 4 6
1107 64 63 15 8
1108 115 114 28 18
1109 17 16 4 6
1110 84 83 20 30
1111 23 22 5 7
1112 90 89 22 29
1113 48 47 11 14
1114 109 108 27 22
1115 38 37 9 13
1116 74 73 18 27
1117 98 97 24 20
1118 28 27 6 5
1119 97 96 24 20
1120 35 34 8 12
1121 114 113 28 18
1122 103 102 25 21
1123 91 90 22 29
1124 23 22 5 7
1125 23 22 5 7
1126 3 2 0 0
1127 1 0 0 0
1128 2 1 0 0
1129 33 32 8 12
1130 17 16 4 6
1131 25 24 6 5
1132 67 66 16 24
1133 6 5 1 1
1134 26 25 6 5
1135 99 98 24 20
1136 8 7 1 1
1137 81 80 20 30
1138 5 4 1 1
1139 84 83 20 30
1140 55 54 13 11
1141 86 85 21 31
1142 120 119 29 19
1143 19 18 4 6
1144 49 48 12 10
1145 62 61 15 8
1146 52 51 12 10
1147 121 120 30 17
1148 104 103 25 21
1149 4 3 0 0
1150 1 0 0 0
1151 1 0 0 0
1152 1 0 0 0
1153 1 0 0 0
1154 1 0 0 0
1155 1 0 0 0
1156 1 0 0 0
1157 1 0 0 0
1158 1 0 0 0
1159 9 8 2 3
1160 17 16 4 6
1161 47 46 11 14
1162 91 90 22 29
1163 58 57 14 9
1164 110 109 27 22
1165 126 125 31 16
1166 110 109 27 22
1167 82 81 20 30
1168 126 125 31 16
1169 66 65 16 24
1170 10 9 2 3
1171 79 78 19 26
1172 99 98 24 20
1173 57 56 14 9
1174 90 89 22 29
1175 65 64 16 24
1176 116 115 28 18
1177 32 31 7 4
1178 83 82 20 30
1179 113 112 28 18
1180 52 51 12 10
1181 119 118 29 19
