#index raw norm_full norm_ldro gray_ldro
721 86 85 21 31
722 111 110 27 22
723 44 43 10 15
724 44 43 10 15
725 101 100 25 21
726 34 33 8 12
727 34 33 8 12
728 33 32 8 12
729 33 32 8 12
730 49 48 12 10
731 39 38 9 13
732 39 38 9 13
733 25 24 6 5
734 17 16 4 6
735 66 65 16 24
736 65 64 16 24
737 65 64 16 24
738 65 64 16 24
739 80 79 19 26
740 80 79 19 26
741 75 74 18 27
742 50 49 12 10
743 53 52 13 11
744 109 108 27 22
745 70 69 17 25
746 96 95 23 28
747 53 52 13 11
748 9 8 2 3
749 12 11 2 3
750 47 46 11 14
751 76 75 18 27
752 23 22 5 7
753 82 81 20 30
754 59 58 14 9
755 113 112 28 18
756 13 12 3 2
757 78 77 19 26
758 7 6 1 1
759 103 102 25 21
760 64 63 15 8
761 64 63 15 8
762 64 63 15 8
763 64 63 15 8
764 64 63 15 8
765 64 63 15 8
766 64 63 15 8
767 64 63 15 8
768 73 72 18 27
769 72 71 17 25
770 80 79 19 26
771 90 89 22 29
772 120 119 29 19
773 121 120 30 17
774 45 44 11 14
775 61 60 15 8
776 45 44 11 14
777 17 16 4 6
778 61 60 15 8
779 1 0 0 0
780 73 72 18 27
781 14 13 3 2
782 34 33 8 12
783 120 119 29 19
784 25 24 6 5
785 0 127 31 16
786 51 50 12 10
787 95 94 23 28
788 18 17 4 6
789 48 47 11 14
790 115 114 28 18
791 54 53 13 11
792 121 120 30 17
793 79 78 19 26
794 12 11 2 3
795 69 68 17 25
796 105 104 26 23
797 2 1 0 0
798 59 58 14 9
799 1 0 0 0
800 66 65 16 24
801 17 16 4 6
802 7 6 1 1
803 122 121 30 17
804 113 112 28 18
805 54 53 13 11
806 34 33 8 12
807 32 31 7 4
808 33 32 8 12
809 64 63 15 8
810 48 47 11 14
811 43 42 10 15
812 16 15 3 2
813 55 54 13 11
814 59 58 14 9
815 67 66 16 24
816 78 77 19 26
817 36 35 8 12
818 96 95 23 28
819 120 119 29 19
820 5 4 1 1
821 79 78 19 26
822 87 86 21 31
823 103 102 25 21
824 8 7 1 1
825 37 36 9 13
826 121 120 30 17
827 5 4 1 1
828 50 49 12 10
829 19 18 4 6
830 30 29 7 4
831 32 31 7 4
832 32 31 7 4
833 32 31 7 4
834 32 31 7 4
835 32 31 7 4
836 32 31 7 4
837 32 31 7 4
838 32 31 7 4
839 40 39 9 13
840 48 47 11 14
841 106 105 26 23
842 110 109 27 22
843 89 88 22 29
844 13 12 3 2
845 29 28 7 4
846 13 12 3 2
847 113 112 28 18
848 29 28 7 4
849 97 96 24 20
850 41 40 10 15
851 110 109 27 22
852 2 1 0 0
853 88 87 21 31
854 121 120 30 17
855 96 95 23 28
856 19 18 4 6
857 63 62 15 8
858 114 113 28 18
859 16 15 3 2
860 83 82 20 30
861 22 21 5 7
862 89 88 22 29
863 47 46 11 14
864 108 107 26 23
865 37 36 9 13
866 73 72 18 27
867 98 97 24 20
868 27 26 6 5
869 97 96 24 20
870 34 33 8 12
871 113 112 28 18
872 103 102 25 21
873 90 89 22 29
874 81 80 20 30
