#cfo preamble_symbols=7 cfo_int=0 cfo_frac=1.09543e-08 sfo_slope=0
#index best_bin second_bin corrected_bin best_mag second_mag delta
240 404 515 404 7.36538e-07 7.14906e-07 0.0221705
241 663 567 663 7.93361e-07 6.67861e-07 0.00709864
242 877 177 877 6.02848e-07 5.82719e-07 0.0258765
243 293 572 293 6.77201e-07 5.59951e-07 0.0276967
244 484 543 484 6.15146e-07 5.18384e-07 0
245 416 497 416 6.26091e-07 5.85422e-07 -0.0145251
246 375 105 375 8.80491e-07 5.8611e-07 0.00828645
247 234 174 234 8.45812e-07 8.06827e-07 -0.0183818
248 657 697 657 6.4385e-07 6.30429e-07 -0.0225126
249 57 743 57 5.49275e-07 5.39194e-07 0
250 658 236 658 8.20957e-07 8.00404e-07 -0.0940021
251 207 333 207 8.08081e-07 7.23844e-07 0.0458089
252 624 580 624 1.00991e-06 8.46981e-07 0.004739
253 75 139 75 7.12177e-07 6.4107e-07 -0.0186129
254 277 583 277 6.7899e-07 6.53226e-07 -0.126253
255 1023 0 0 424972 424971 0.499999
256 1023 0 0 424973 424972 0.499999
257 1023 0 0 424972 424972 0.5
258 1023 0 0 424972 424972 0.5
259 0 1023 0 424972 424972 -0.5
260 1023 0 0 424972 424972 0.499999
261 1023 0 0 424972 424972 0.499999
262 0 1023 0 424972 424972 -0.5
263 8 7 8 424949 424884 -0.499827
264 15 16 15 425003 424942 0.499839
265 992 31 992 1687.77 1679.93 -0.040934
266 992 31 992 1683.91 1683.85 -0.0408908
267 402 399 402 176096 173219 -0.415306
268 121 120 121 262777 261628 -0.495252
269 801 800 801 363013 361084 -0.494615
270 331 334 331 166066 165466 0.491279
271 240 241 240 193450 192013 0.483449
272 1021 1020 1021 362690 361187 -0.495796
273 821 820 821 365216 359312 -0.483788
274 1020 1021 1020 365558 360539 0.486186
275 935 934 935 360344 359926 -0.498822
276 224 225 224 200556 200256 0.497125
277 909 908 909 363000 361087 -0.49466
278 588 587 588 221941 221932 -0.499944
279 361 364 361 173394 173310 0.437218
280 478 477 478 174488 172763 -0.446908
281 764 763 764 358872 357694 -0.496676
282 129 130 129 255811 255749 0.499729
283 657 656 657 269711 268607 -0.495649
284 162 163 162 233912 233528 0.497938
285 983 982 983 362549 361256 -0.496379
286 413 416 413 173145 171685 0.435229
287 569 568 569 212622 210160 -0.48222
288 472 473 472 174964 172953 0.436906
289 272 273 272 180621 180447 0.496385
290 232 233 232 198197 194226 0.461187
291 772 771 772 363151 361858 -0.496384
292 771 772 772 424977 424967 0.499972
293 768 767 768 368635 366358 -0.493446
294 0 1023 0 363385 361819 -0.495626
295 256 255 256 186826 185027 -0.473995
296 960 959 960 362940 361100 -0.494858
297 863 864 863 363279 362154 0.496851
298 784 783 784 372081 353598 -0.451704
299 784 783 784 48780.2 48779.9 -0.499977
300 957 316 957 7.03341e-07 6.61292e-07 -0.0216532
301 658 808 658 7.72366e-07 6.32541e-07 -0.0277465
302 827 932 827 6.05592e-07 5.99199e-07 0.0366254
303 512 599 512 6.91614e-07 6.56672e-07 -0.0383189
304 394 808 394 7.29989e-07 6.25466e-07 0.0212425
305 543 675 543 6.52812e-07 5.48968e-07 0.0137841
