path,backend,cfo_initial_hz,cfo_final_hz,sample_rate_ratio_initial,sample_rate_ratio_used,sample_rate_error_ppm,chunk_count,chunk_time_avg_us,chunk_time_max_us
/home/aquay/lora-lite-phy/golden_vectors/extended_batch_crc_off/tx_sf9_bw125000_cr3_crc0_impl0_ldro1_pay19.cf32,cpp_stream,-244.140625,-122.0703125,1.0,1.0,0.0,32,2214.53940625,16521.815
/home/aquay/lora-lite-phy/golden_vectors/extended_batch_crc_off/tx_sf9_bw125000_cr3_crc0_impl0_ldro2_pay19.cf32,cpp_stream,-244.140625,-122.0703125,1.0,1.0,0.0,25,2879.30224,16993.642
/home/aquay/lora-lite-phy/golden_vectors/extended_batch_crc_off/tx_sf9_bw125000_cr4_crc0_impl0_ldro0_pay19.cf32,cpp_stream,-244.140625,-183.10546875,1.0,1.0,0.0,27,2473.033666667,17328.124
/home/aquay/lora-lite-phy/golden_vectors/extended_batch_crc_off/tx_sf9_bw125000_cr4_crc0_impl0_ldro1_pay19.cf32,cpp_stream,-244.140625,-183.10546875,1.0,1.0,0.0,35,2083.4328,16829.709
/home/aquay/lora-lite-phy/golden_vectors/extended_batch_crc_off/tx_sf9_bw125000_cr4_crc0_impl0_ldro2_pay19.cf32,cpp_stream,-244.140625,-183.10546875,1.0,1.0,0.0,27,2398.289592593,16910.986
/home/aquay/lora-lite-phy/golden_vectors/extended_batch_impl/tx_sf10_bw125000_cr3_crc0_impl1_ldro0_pay19.cf32,cpp_stream,0.0,0.0,1.0,1.0,0.0,34,288170.385117647,9627577.382
/home/aquay/lora-lite-phy/golden_vectors/extended_batch_impl/tx_sf10_bw125000_cr3_crc0_impl1_ldro1_pay19.cf32,cpp_stream,0.0,0.0,1.0,1.0,0.0,41,325473.178853659,13171724.832
/home/aquay/lora-lite-phy/golden_vectors/extended_batch_impl/tx_sf10_bw125000_cr3_crc0_impl1_ldro2_pay19.cf32,cpp_stream,0.0,0.0,1.0,1.0,0.0,34,308915.849794118,10328254.545
/home/aquay/lora-lite-phy/golden_vectors/extended_batch_impl/tx_sf10_bw125000_cr4_crc0_impl1_ldro0_pay19.cf32,cpp_stream,0.0,0.0,1.0,1.0,0.0,37,310128.478297297,11303271.556
/home/aquay/lora-lite-phy/golden_vectors/extended_batch_impl/tx_sf10_bw125000_cr4_crc0_impl1_ldro1_pay19.cf32,cpp_stream,0.0,0.0,1.0,1.0,0.0,45,337180.817666667,15003567.726
/home/aquay/lora-lite-phy/golden_vectors/extended_batch_impl/tx_sf10_bw125000_cr4_crc0_impl1_ldro2_pay19.cf32,cpp_stream,0.0,0.0,1.0,1.0,0.0,37,292661.642891892,10662565.572
/home/aquay/lora-lite-phy/golden_vectors/extended_batch_impl/tx_sf11_bw125000_cr3_crc0_impl1_ldro0_pay19.cf32,cpp_stream,0.0,0.0,1.0,1.0,0.0,81,346933.860901235,27491581.598
/home/aquay/lora-lite-phy/golden_vectors/extended_batch_impl/tx_sf11_bw125000_cr3_crc0_impl1_ldro1_pay19.cf32,cpp_stream,0.0,0.0,1.0,1.0,0.0,81,362096.739061728,28657244.647
/home/aquay/lora-lite-phy/golden_vectors/extended_batch_impl/tx_sf11_bw125000_cr3_crc0_impl1_ldro2_pay19.cf32,cpp_stream,0.0,0.0,1.0,1.0,0.0,81,317802.423358025,25135760.899
/home/aquay/lora-lite-phy/golden_vectors/extended_batch_impl/tx_sf11_bw125000_cr4_crc0_impl1_ldro0_pay19.cf32,cpp_stream,0.0,0.0,1.0,1.0,0.0,89,331966.752426966,28941951.13
/home/aquay/lora-lite-phy/golden_vectors/extended_batch_impl/tx_sf11_bw125000_cr4_crc0_impl1_ldro1_pay19.cf32,cpp_stream,0.0,0.0,1.0,1.0,0.0,89,335018.42494382,29211189.805
/home/aquay/lora-lite-phy/golden_vectors/extended_batch_impl/tx_sf11_bw125000_cr4_crc0_impl1_ldro2_pay19.cf32,cpp_stream,0.0,0.0,1.0,1.0,0.0,89,358568.192404494,31299884.617
/home/aquay/lora-lite-phy/golden_vectors/extended_batch_impl/tx_sf12_bw125000_cr3_crc0_impl1_ldro0_pay19.cf32,cpp_stream,0.0,0.0,1.0,1.0,0.0,134,316168.718962687,40054687.047
/home/aquay/lora-lite-phy/golden_vectors/extended_batch_impl/tx_sf12_bw125000_cr3_crc0_impl1_ldro1_pay19.cf32,cpp_stream,0.0,0.0,1.0,1.0,0.0,134,311883.085761194,39646596.945
/home/aquay/lora-lite-phy/golden_vectors/extended_batch_impl/tx_sf12_bw125000_cr3_crc0_impl1_ldro2_pay19.cf32,cpp_stream,0.0,0.0,1.0,1.0,0.0,134,359627.586067164,45722574.823
/home/aquay/lora-lite-phy/golden_vectors/extended_batch_impl/tx_sf12_bw125000_cr4_crc0_impl1_ldro0_pay19.cf32,cpp_stream,0.0,0.0,1.0,1.0,0.0,146,355204.22519863,48853379.929
/home/aquay/lora-lite-phy/golden_vectors/extended_batch_impl/tx_sf12_bw125000_cr4_crc0_impl1_ldro1_pay19.cf32,cpp_stream,0.0,0.0,1.0,1.0,0.0,146,299000.018205479,41162746.589
/home/aquay/lora-lite-phy/golden_vectors/extended_batch_impl/tx_sf12_bw125000_cr4_crc0_impl1_ldro2_pay19.cf32,cpp_stream,0.0,0.0,1.0,1.0,0.0,146,297048.948205479,41501311.823
/home/aquay/lora-lite-phy/golden_vectors/extended_batch_impl/tx_sf9_bw125000_cr3_crc0_impl1_ldro0_pay19.cf32,cpp_stream,0.0,0.0,1.0,1.0,0.0,21,355071.583,7407723.432
/home/aquay/lora-lite-phy/golden_vectors/extended_batch_impl/tx_sf9_bw125000_cr3_crc0_impl1_ldro1_pay19.cf32,cpp_stream,0.0,0.0,1.0,1.0,0.0,24,305519.378125,7279717.386
/home/aquay/lora-lite-phy/golden_vectors/extended_batch_impl/tx_sf9_bw125000_cr3_crc0_impl1_ldro2_pay19.cf32,cpp_stream,0.0,0.0,1.0,1.0,0.0,21,264606.683666667,5509032.961
/home/aquay/lora-lite-phy/golden_vectors/extended_batch_impl/tx_sf9_bw125000_cr4_crc0_impl1_ldro0_pay19.cf32,cpp_stream,0.0,0.0,1.0,1.0,0.0,23,278348.098391304,6353417.159
/home/aquay/lora-lite-phy/golden_vectors/extended_batch_impl/tx_sf9_bw125000_cr4_crc0_impl1_ldro1_pay19.cf32,cpp_stream,0.0,0.0,1.0,1.0,0.0,27,315186.98837037,8458894.707
/home/aquay/lora-lite-phy/golden_vectors/extended_batch_impl/tx_sf9_bw125000_cr4_crc0_impl1_ldro2_pay19.cf32,cpp_stream,0.0,0.0,1.0,1.0,0.0,23,284051.845,6485726.572
